x,y,gesture
7.073484,8.867586,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_9_Gesture_20.00_20.13
1.5842829,5.1964607,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_1_Gesture_1.73_4.03
1.336882,5.5808086,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_2_Gesture_9.30_13.90
1.6104406,4.452288,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_3_Gesture_17.47_23.50
1.4077495,4.323788,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_4_Gesture_24.47_26.17
1.5642202,4.915437,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_5_Gesture_27.47_29.60
1.3277209,4.6679635,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_6_Gesture_2.13_3.33
1.4047428,4.7681003,103_203_25_1_20250113_153028_hamster_ground_guesser_cam02.mp4_segment_7_Gesture_27.50_29.60
9.7153015,6.5673513,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_10_Gesture_14.37_26.03
11.141564,8.502626,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_11_Gesture_28.93_29.73
9.730819,5.3616424,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_12_Gesture_31.60_38.87
9.63007,7.8889966,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_13_Gesture_40.23_44.17
10.103659,9.190251,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_14_Gesture_52.97_53.43
10.016617,9.030185,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_15_Gesture_54.00_56.30
10.14749,8.017967,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_16_Gesture_56.93_60.13
9.6109,6.4193745,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_17_Gesture_61.17_61.97
9.732896,4.933731,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_18_Gesture_63.13_63.23
9.813814,4.987338,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_19_Gesture_67.40_67.57
10.052401,8.555895,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_1_Gesture_5.00_7.10
9.585565,5.8624196,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_2_Gesture_7.67_25.97
9.494418,5.6957784,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_3_Gesture_31.97_44.00
9.874485,9.2507515,103_203_26_1_20250113_153140_siren_ground_clueGiver_cam02.mp4_segment_4_Gesture_54.17_54.87
