gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk
103_203_41_1_20250113_153604_sugar_ground_clueGiver_cam02.mp4_segment_4_Gesture_6.10_6.73,103,R,2,2,2,0.0002675058590577962,2.556310636757873,0.6,1,0.12,3.0,1,0.3523725365574387,0.3523725365574387,0.3523725365574387,1,0.18175797476295416,0.3695510778094457,0.1843939300052995,1.7588851955505074,0.4134728126231523,34.135542895440764,0.19057888778766238,0.08251841416642541,0.9715775009594859,0.05022758974706415,16.939318125241858
103_203_41_1_20250113_153604_sugar_ground_clueGiver_cam02.mp4_segment_5_Gesture_7.63_9.00,103,R,1,2,2,0.0006814828525177301,2.6162118737385986,1.36,2,0.36,4.5,2,0.4491710926000108,0.4171254015800906,0.4171254015800906,4,0.11067175414931277,0.4534079276278428,0.18529886220178574,4.571858263700143,0.134130805482709,56.22941586345306,0.250392887051879,0.07752605462907315,2.415680861134129,0.0587652078382026,29.263721099608055
103_203_42_1_20250113_153614_sushi_ground_clueGiver_cam02.mp4_segment_1_Gesture_4.10_8.23,103,L,1,4,4,0.0005494544174317196,0.0,4.12,2,2.96,37.0,6,0.5740325730080822,0.224474345008995,0.224474345008995,6,0.1213788887972073,0.5877538034292902,0.09055870627405661,4.290904112544948,0.005883032937262206,47.86313451296628,0.40791182807364335,0.05289344390137621,2.5408682274327425,0.006402399428778064,29.840823005896855
103_203_42_1_20250113_153614_sushi_ground_clueGiver_cam02.mp4_segment_2_Gesture_1.53_1.70,103,L,1,4,4,3.763103120074252e-05,0.0,0.16,0,0.0,0.0,1,0.12738549461511928,0.12738549461511928,0.12738549461511928,1,0.07921124177804004,0.13551469806338517,0.12262195070981502,0.6104025267104115,0.2375611897401162,11.001123620159891,0.08429390196310219,0.07619301908368503,0.38120316353575384,0.14292433136120633,6.849465294864474
103_203_42_1_20250113_153614_sushi_ground_clueGiver_cam02.mp4_segment_3_Gesture_7.03_8.83,103,R,1,2,2,0.0013680762976355859,2.640830327747485,1.8,3,0.44,3.6666666666666665,5,0.6249670166962628,0.32105426633652995,0.32105426633652995,5,0.16125181184420806,0.6451137030213054,0.20963934631807646,6.374617652163166,0.15457199251162387,66.00197072663602,0.26452273288914585,0.11175564841391492,2.6612768927776953,0.058965187158043,28.474252637649688
103_203_42_1_20250113_153614_sushi_ground_guesser_cam02.mp4_segment_1_Gesture_4.13_5.43,103,L,2,4,2,0.006079438518265811,2.8269087037537797,1.28,1,0.52,13.0,1,0.9008140081130732,0.9008140081130732,0.9008140081130732,2,0.12360904847339191,0.9105585579365498,0.25690864760515025,4.557908908071727,0.1196962592676718,49.270713909756225,0.22815644283696593,0.08580101439391735,0.9288222359887125,0.0682215035506428,12.219683323510155
103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam02.mp4_segment_1_Gesture_1.30_2.63,103,R,2,2,1,7.789850552225928e-06,2.3826805113809666,1.32,1,1.16,29.0,1,0.1574055725657239,0.1574055725657239,0.1574055725657239,1,0.11786967061062853,0.1623298808105543,0.027009203906573166,1.0726514419311646,0.004671875251974789,18.49032041116628,0.12272386674219715,0.026565346112360076,0.7365464344539926,0.010244973284722595,13.459061968338801
103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam02.mp4_segment_2_Gesture_5.10_7.57,103,R,3,4,4,0.0035769867366704316,2.8122569626452547,2.44,4,0.76,4.75,4,0.7557776156818385,0.4012796523762314,0.4012796523762314,6,0.13315270379690983,0.7342467158056132,0.2410169638150781,3.951846995738282,0.14925902613131636,52.15413456716894,0.24165084659319472,0.10285410393893782,3.099233572374902,0.024272860025680666,41.78083860458436
103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam02.mp4_segment_3_Gesture_9.80_10.63,103,L,1,4,4,0.0005312628636425496,0.0,0.8,0,0.0,0.0,1,0.46676753440768703,0.46676753440768703,0.46676753440768703,2,0.08734819971612433,0.47579961902704077,0.18037833445722373,2.825644765849356,0.1810978710213421,37.11679514138974,0.12020651685975946,0.06744068074195947,0.6552269237188096,0.07898341867280248,8.346817909408244
103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam02.mp4_segment_4_Gesture_5.07_7.53,103,R,3,4,4,0.0035453223529049987,2.8196063896677668,2.44,3,0.6,5.0,4,0.7518222630424919,0.3761972423771095,0.3761972423771095,5,0.14248150333110016,0.7417521341636659,0.23385368806780107,3.9031432697737913,0.07111523311178697,50.563642816664284,0.28511641134197996,0.09762130208234202,3.3350875732809353,0.02819866815458822,46.91686765562754
