time,envelope_change,sway_speed,sway_lean
2.324,4.5290484287529446e-05,0.0,0.0
2.326,4.692191782682231e-05,0.0,0.0
2.328,4.881980475750947e-05,0.0,0.0
2.33,5.0971522627920965e-05,0.0,0.0
2.332,5.335899522766998e-05,0.0,0.0
2.334,5.59576072716346e-05,0.0,0.0
2.336,5.873505853029758e-05,0.0,0.0
2.338,6.165018819867319e-05,0.0,0.0
2.34,6.465182693228442e-05,0.0,0.0
2.342,6.767777749472318e-05,0.0,0.0
2.344,7.065406593711221e-05,0.0,0.0
2.346,7.349462177893133e-05,0.0,0.0
2.348,7.610152256757287e-05,0.0,0.0
2.35,7.836587232508241e-05,0.0,0.0
2.352,8.016932194027821e-05,0.0,0.0
2.354,8.138622871502181e-05,0.0,0.0
2.356,8.188647510532309e-05,0.0,0.0
2.358,8.153897904269703e-05,0.0,0.0
2.36,8.021592868778096e-05,0.0,0.0
2.362,7.779781059332601e-05,0.0,0.0
2.364,7.417937677678217e-05,0.0,0.0
2.366,6.927675880155072e-05,0.0,0.0
2.368,6.303595038887042e-05,0.0,0.0
2.37,5.544281426200753e-05,0.0,0.0
2.372,4.653462538440214e-05,0.0,0.0
2.374,3.641304676973088e-05,0.0,0.0
2.376,2.52583996459349e-05,0.0,0.0
2.378,1.3345053502555678e-05,0.0,0.0
2.38,1.0577134984957947e-06,0.0,0.0
2.382,-1.1091609797786034e-05,0.0,0.0
2.384,-2.244614901926241e-05,0.0,0.0
2.386,-3.218670704439955e-05,0.0,0.0
2.388,-3.931412258442938e-05,0.0,0.0
2.39,-4.263229952591044e-05,0.0,0.0
2.392,-4.073225101565076e-05,0.0,0.0
2.394,-3.19776615412116e-05,0.0,0.0
2.396,-1.4492580884938776e-05,0.0,0.0
2.398,1.3848001307481958e-05,0.0,0.0
2.4,5.542382591314629e-05,0.0,0.0
2.402,0.0001128702900683,0.0,0.0
2.404,0.0001890735093274,0.0,0.0
2.406,0.0002871582381602,0.0,0.0
2.408,0.0004104671890744,0.0,0.0
2.41,0.0005625301055181,0.0,0.0
2.412,0.0007470207898876,0.0,0.0
2.414,0.0009677001615951,0.0,0.0
2.416,0.0012283432949803,0.0,0.0
2.418,0.0015326483090501,0.0,0.0
2.42,0.0018841249818293,0.0,0.0
2.422,0.0022859707125079,0.0,0.0
2.424,0.002740963505593,0.0,0.0
2.426,0.0032513991955313,0.0,0.0
2.428,0.0038190650851076,0.0,0.0
