pair_id,participant_1_id,participant_2_id,session_date,trial_end_time,trial_number,clue_giver_id,clue_giver_condition,target_word,taboo_1,taboo_2,taboo_3,taboo_4,taboo_5,audio_file_name,video_clue_giver_cam01,video_clue_giver_cam02,video_guesser_cam01,video_guesser_cam02,textgrid_file_name
103_203,103,203,13/01/2025,13/01/2025 15:36,41,103,ground,sugar,sweet,white,powder,cane,salt,103_203_41_1_20250113_153604_sugar_ground.wav,103_203_41_1_20250113_153604_sugar_ground_clueGiver_cam01.mp4,103_203_41_1_20250113_153604_sugar_ground_clueGiver_cam02.mp4,103_203_41_1_20250113_153604_sugar_ground_guesser_cam01.mp4,103_203_41_1_20250113_153604_sugar_ground_guesser_cam02.mp4,103_203_41_20250113_153604_sugar_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:36,42,103,ground,sushi,rice,eat,roll,fish,raw,103_203_42_1_20250113_153614_sushi_ground.wav,103_203_42_1_20250113_153614_sushi_ground_clueGiver_cam01.mp4,103_203_42_1_20250113_153614_sushi_ground_clueGiver_cam02.mp4,103_203_42_1_20250113_153614_sushi_ground_guesser_cam01.mp4,103_203_42_1_20250113_153614_sushi_ground_guesser_cam02.mp4,103_203_42_20250113_153614_sushi_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:36,43,103,ground,gravy,sauce,brown,potato,meat,mashed,103_203_43_1_20250113_153626_gravy_ground.wav,103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam01.mp4,103_203_43_1_20250113_153626_gravy_ground_clueGiver_cam02.mp4,103_203_43_1_20250113_153626_gravy_ground_guesser_cam01.mp4,103_203_43_1_20250113_153626_gravy_ground_guesser_cam02.mp4,103_203_43_20250113_153626_gravy_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:37,45,203,board,walnut,fruit,shell,hard,brazil,eat,103_203_45_1_20250113_153745_walnut_board.wav,103_203_45_1_20250113_153745_walnut_board_clueGiver_cam01.mp4,103_203_45_1_20250113_153745_walnut_board_clueGiver_cam02.mp4,103_203_45_1_20250113_153745_walnut_board_guesser_cam01.mp4,103_203_45_1_20250113_153745_walnut_board_guesser_cam02.mp4,103_203_45_20250113_153745_walnut_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:37,46,203,board,blanket,bed,sleeping,cover,warm,keeping,103_203_46_1_20250113_153759_blanket_board.wav,103_203_46_1_20250113_153759_blanket_board_clueGiver_cam01.mp4,103_203_46_1_20250113_153759_blanket_board_clueGiver_cam02.mp4,103_203_46_1_20250113_153759_blanket_board_guesser_cam01.mp4,103_203_46_1_20250113_153759_blanket_board_guesser_cam02.mp4,103_203_46_20250113_153759_blanket_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:38,47,203,board,soda,drink,beverage,pop,carbonnated,coke,103_203_47_1_20250113_153811_soda_board.wav,103_203_47_1_20250113_153811_soda_board_clueGiver_cam01.mp4,103_203_47_1_20250113_153811_soda_board_clueGiver_cam02.mp4,103_203_47_1_20250113_153811_soda_board_guesser_cam01.mp4,103_203_47_1_20250113_153811_soda_board_guesser_cam02.mp4,103_203_47_20250113_153811_soda_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:38,48,203,board,hunger,stomach,food,feeling,famished,need,103_203_48_1_20250113_153828_hunger_board.wav,103_203_48_1_20250113_153828_hunger_board_clueGiver_cam01.mp4,103_203_48_1_20250113_153828_hunger_board_clueGiver_cam02.mp4,103_203_48_1_20250113_153828_hunger_board_guesser_cam01.mp4,103_203_48_1_20250113_153828_hunger_board_guesser_cam02.mp4,103_203_48_20250113_153828_hunger_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:38,49,203,board,christmas,holiday,december,santa,winter,jesus,103_203_49_1_20250113_153839_christmas_board.wav,103_203_49_1_20250113_153839_christmas_board_clueGiver_cam01.mp4,103_203_49_1_20250113_153839_christmas_board_clueGiver_cam02.mp4,103_203_49_1_20250113_153839_christmas_board_guesser_cam01.mp4,103_203_49_1_20250113_153839_christmas_board_guesser_cam02.mp4,103_203_49_20250113_153839_christmas_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:38,50,203,board,butter,bread,margarine,yellow,dairy,spread,103_203_50_1_20250113_153852_butter_board.wav,103_203_50_1_20250113_153852_butter_board_clueGiver_cam01.mp4,103_203_50_1_20250113_153852_butter_board_clueGiver_cam02.mp4,103_203_50_1_20250113_153852_butter_board_guesser_cam01.mp4,103_203_50_1_20250113_153852_butter_board_guesser_cam02.mp4,103_203_50_20250113_153852_butter_board_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:39,51,203,board,cologne,perfume,male,smell,scent,stuff,103_203_51_1_20250113_153926_cologne_board.wav,103_203_51_1_20250113_153926_cologne_board_clueGiver_cam01.mp4,103_203_51_1_20250113_153926_cologne_board_clueGiver_cam02.mp4,103_203_51_1_20250113_153926_cologne_board_guesser_cam01.mp4,103_203_51_1_20250113_153926_cologne_board_guesser_cam02.mp4,103_203_51_20250113_153926_cologne_board_p2.TextGrid
